Location,ProjectType,Outcome
101,4,P
101,0,N
101,1,N
101,2,N
101,3,N
101,9,N
101,10,N
101,13,N
101,8,N
101,6,N
116,4,N
116,0,N
116,1,N
116,2,N
116,3,N
116,9,N
116,10,N
116,13,N
116,8,N
116,6,N
118,4,P
118,0,N
118,1,N
118,2,N
118,3,N
118,9,N
118,10,N
118,13,N
118,8,N
118,6,N
206,4,X
206,0,X
206,1,X
206,2,X
206,3,X
206,9,X
206,10,X
206,13,X
206,8,X
206,6,X
215,4,P
215,0,X
215,1,X
215,2,X
215,3,X
215,9,X
215,10,X
215,13,X
215,8,X
215,6,X
207,4,N
207,0,N
207,1,N
207,2,N
207,3,N
207,9,N
207,10,N
207,13,N
207,8,N
207,6,N
204,4,P
204,0,N
204,1,N
204,2,N
204,3,N
204,9,N
204,10,N
204,13,N
204,8,N
204,6,N
205,4,P
205,0,N
205,1,N
205,2,N
205,3,N
205,9,N
205,10,N
205,13,N
205,8,N
205,6,N
225,4,P
225,0,X
225,1,X
225,2,X
225,3,X
225,9,X
225,10,X
225,13,X
225,8,X
225,6,X
329,4,X
329,0,N
329,1,N
329,2,N
329,3,N
329,9,N
329,10,N
329,13,N
329,8,N
329,6,N
314,4,P
314,0,N
314,1,N
314,2,N
314,3,N
314,9,N
314,10,N
314,13,N
314,8,N
314,6,N
312,4,P
312,0,N
312,1,N
312,2,N
312,3,N
312,9,N
312,10,N
312,13,N
312,8,N
312,6,N
313,4,P
313,0,N
313,1,N
313,2,N
313,3,N
313,9,N
313,10,N
313,13,N
313,8,N
313,6,N
302,4,P
302,0,N
302,1,N
302,2,N
302,3,N
302,9,N
302,10,N
302,13,N
302,8,N
302,6,N
327,4,P
327,0,N
327,1,N
327,2,N
327,3,N
327,9,N
327,10,N
327,13,N
327,8,N
327,6,N
332,4,P
332,0,N
332,1,N
332,2,N
332,3,N
332,9,N
332,10,N
332,13,N
332,8,N
332,6,N
426,4,P
426,0,P
426,1,P
426,2,P
426,3,P
426,9,P
426,10,P
426,13,P
426,8,P
426,6,P
411,4,P
411,0,P
411,1,P
411,2,P
411,3,P
411,9,P
411,10,P
411,13,P
411,8,P
411,6,P
421,4,P
421,0,P
421,1,P
421,2,P
421,3,P
421,9,P
421,10,P
421,13,P
421,8,P
421,6,P
410,4,P
410,0,P
410,1,P
410,2,P
410,3,P
410,9,P
410,10,P
410,13,P
410,8,P
410,6,P
435,4,P
435,0,P
435,1,P
435,2,P
435,3,P
435,9,P
435,10,P
435,13,P
435,8,P
435,6,P
422,4,P
422,0,P
422,1,P
422,2,P
422,3,P
422,9,P
422,10,P
422,13,P
422,8,P
422,6,P
423,4,P
423,0,P
423,1,P
423,2,P
423,3,P
423,9,P
423,10,P
423,13,P
423,8,P
423,6,P
24,4,X
24,0,X
24,1,X
24,2,X
24,3,X
24,9,X
24,10,X
24,13,X
24,8,X
24,6,X
8,4,N
8,0,N
8,1,N
8,2,N
8,3,N
8,9,N
8,10,N
8,13,N
8,8,N
8,6,N
9,4,N
9,0,N
9,1,N
9,2,N
9,3,N
9,9,N
9,10,N
9,13,N
9,8,N
9,6,N
99,4,N
99,0,N
99,1,N
99,2,N
99,3,N
99,9,N
99,10,N
99,13,N
99,8,N
99,6,N
30,4,N
30,0,N
30,1,N
30,2,N
30,3,N
30,9,N
30,10,N
30,13,N
30,8,N
30,6,N
17,4,N
17,0,N
17,1,N
17,2,N
17,3,N
17,9,N
17,10,N
17,13,N
17,8,N
17,6,N
