Response Option Number,Response Option Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Acholi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Afar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Afrikaans, , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,
103,Ahtna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Akan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Akateko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Akuzipigestun / St. Lawrence Island Yupik (aka Siberian Yupik),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Albanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Algonquian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Alutiiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,American Sign Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Amharic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Anuak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Apache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Arabic , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Armenian ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Assyrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Atnakenaege’ / Ahtna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Aymara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Azerbaijani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Bahasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Bahdini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Bajuni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Bambara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Bantu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Barese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Basque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Bassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Belorussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Bemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Benaadir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Bengali , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Berber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Black American Sign Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Bosnian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Bravanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Bulgarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Burmese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Cambodian, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Cantonese, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Cape Verdean Creole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Catalan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Cebuano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Central Alaskan Yup’ik / Yugtun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Chaldean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Chamorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Chaochow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Cherokee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Chipewyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Choctaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Chuukese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Cree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Croatian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Czech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Danish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Dari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Deg Xinag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Dena'inaq' / Dena'ina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Denaakk'e / Koyukon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Dewoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Dinak'i / Upper Kuskokwim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Dinjii Zhuh K'yaa / Gwich'in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Dinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Doogh Qinaq / Holikachuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Duala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Dutch, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Dzongkha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Edo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Ekegusli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,English, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Estonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Ewe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Eyak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Farsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Fijian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Filipino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Finnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Flemish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,French , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,French Cajun, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,French Canadian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,French Creole, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,French Haitian, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Fukienese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Fulani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Fuzhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Gaddang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Gaelic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Garre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Georgian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,German , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Gheg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Gokana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Greek , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Gujarati, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Gulay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Gullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Gurani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Gwich'in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Haida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Haitian ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Haitian Creole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Hakka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Häl golan / Hän,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
